Type,Security,Price,Time,DayMovingAverage
Buy,QRVO,114.145,17:18.3,114.149074
Buy,QH,7.93,18:19.7,7.946115179
Sell,QRVO,114.15,18:20.0,114.149074
Buy,QRVO,114.1,21:23.7,114.149074
Sell,QRVO,114.21,22:25.2,114.149074
Buy,TPR,13.61,23:26.5,13.63626608
Buy,QRVO,114.06,24:27.9,114.149074
Buy,GS,203.21,27:33.7,203.2911432
Sell,TPR,13.64,32:41.5,13.63626608
Buy,TPR,13.61,33:43.1,13.63626608
Buy,WMT,131.26,36:46.9,131.2741016
Sell,GS,203.34,37:48.3,203.2911432
Sell,WMT,131.305,37:48.5,131.2741016
Buy,GS,203.15,38:50.3,203.2911432
Buy,XOM,43.545,48:02.3,43.55691684
Buy,FE,29.09,49:03.7,29.09854897
Sell,FE,29.1523,51:06.3,29.09854897
Sell,QRVO,114.19,04:23.1,114.149074
Buy,QRVO,114.12,05:24.5,114.149074
Sell,XOM,43.58,09:29.5,43.55691684
Sell,QH,8,10:30.9,7.946115179
Sell,QRVO,114.24,10:31.1,114.149074
