Type,Security,Price,Time,DayMovingAverage
Sell,BIIB,282.53,38:43.6,282.3546838
Sell,VRNA,8.795,42:48.2,8.770082258
Buy,VRNA,8.7609,45:51.7,8.770082258
Buy,BIIB,282.205,46:53.0,282.3546838
Buy,AXP,96.3,46:53.2,96.32326757
Buy,BA,179.0301,47:54.6,179.0620466
Buy,APH,102.55,49:57.7,102.5644034
Buy,EVSI,13.4,50:59.0,13.4194425
Sell,AXP,96.36,52:00.4,96.32326757
Sell,VRNA,8.85,53:01.7,8.770082258
Sell,BA,179.08,54:03.2,179.0620466
Buy,BA,179.04,55:04.8,179.0620466
Buy,AXP,96.3,55:05.1,96.32326757
Sell,APH,102.62,56:06.5,102.5644034
Buy,APH,102.44,58:09.0,102.5644034
Sell,APH,102.65,01:12.7,102.5644034
Sell,AXP,96.3634,04:16.4,96.32326757
Sell,BA,179.075,06:18.9,179.0620466
Buy,VRNA,8.72,07:20.1,8.770082258
Sell,NKE,98.26,09:22.7,98.25115743
Buy,NKE,98.25,10:24.0,98.25115743
Sell,EVSI,13.49,11:25.3,13.4194425
Buy,SDC,9.08,11:25.5,9.080192441
Buy,NETE,15.7083,12:26.8,15.74708139
Sell,NETE,15.7799,14:29.7,15.74708139
Buy,EVSI,13.395,15:31.1,13.4194425
Sell,NKE,98.26,17:33.9,98.25115743
Buy,NETE,15.6994,17:34.1,15.74708139
Buy,NKE,98.24,18:35.5,98.25115743
Buy,AXP,96.31,22:41.5,96.32326757
Sell,NKE,98.27,23:42.9,98.25115743
Sell,AXP,96.37,23:43.1,96.32326757
Buy,NKE,98.2,24:44.4,98.25115743
Buy,AXP,96.31,26:47.1,96.32326757
Buy,APH,102.505,31:53.3,102.5644034
Buy,BA,178.9042,31:53.5,179.0620466
Sell,BA,179.0801,32:55.1,179.0620466
Sell,APH,102.63,33:56.2,102.5644034
Sell,AXP,96.39,33:56.5,96.32326757
Buy,APH,102.54,34:57.9,102.5644034
Sell,NETE,15.76,34:58.2,15.74708139
Sell,VRNA,8.79,35:59.8,8.770082258
Sell,MSFT,210.9,37:01.0,210.893618
Sell,APH,102.58,37:01.3,102.5644034
Buy,APH,102.535,38:02.6,102.5644034
Buy,MSFT,210.88,39:04.0,210.893618
Sell,V,197.52,40:06.0,197.4810986
Sell,APH,102.57,41:07.4,102.5644034
Buy,APH,102.56,42:08.7,102.5644034
Sell,APH,102.67,43:10.0,102.5644034
Sell,MSFT,210.9,44:11.6,210.893618
Buy,MSFT,210.77,48:16.8,210.893618
Buy,NETE,15.7104,48:17.0,15.74708139
Sell,NETE,15.75,50:19.2,15.74708139
Buy,NETE,15.7,56:27.2,15.74708139
Buy,VRNA,8.6559,58:29.8,8.770082258
Sell,VRNA,8.806,59:31.2,8.770082258
Sell,NKE,98.28,00:32.6,98.25115743
Buy,APH,102.45,01:34.3,102.5644034
Buy,NKE,98.22,01:34.5,98.25115743
Buy,OCUL,8.67,02:35.9,8.676976897
Sell,MSFT,210.99,06:41.0,210.893618
Sell,SDC,9.0881,07:42.3,9.080192441
