NXTD
AVGR
IGC
AIHS
CHFS
PSV
DNN
BRN
GTE
GMO
BTE
CCCL
HPR
GRNQ
TELL
ONVO
ANTE
AAU
GLBS
DLPN
NCTY
HNRG
CDR
FET
TTI
HEXO
IPI
ACST
LONE
UAMY
USWS
ENSV
TKAT
RETO
CSU
JAGX
NVUS
CPHI
SCON
BDR
XYF
ISIG
MTNB
CDEV
KTOV
SMLP
URG
LCTX
VTNR
OPTT
JOB
KGJI
ATNM
NCSM
TTNP
ALRN
GEN
INFI
DTEA
ISR
DXLG
TEUM
WYY
BIOC
NBRV
GSV
SNCA
BIOL
PXS
CLUB
EYES
CBAT
IFMK
NMTR
GSM
OCGN
GEVO
VIVE
HUSN
INUV
PTN
SNDL
ACOR
PDS
OAS
JT
FAMI
BKYI
STAF
MDLY
CFMS
MSN
STON
LODE
PFIE
DYNT
SSY
PME
ANCN
AFH
ALJJ
APEX
AUMN
AXAS
BNGO
CHEK
CTRM
FTEK
GSAT
GVP
HTGM
ITP
JE
KIQ
LEE
LLIT
NEOS
NSPR
PFMT
PSHG
RMED
SDPI
SNSS
TGC
TOPS
TRCH
TRQ
TRX
XELA
XELB
XPL
ZOM
DMPI
SONM
BBI
BGI
HGSH
GPL
NOG
WLL
HX
RIBT
WPG
EYPT
RGLS
TBLT
OBLN
TGB
DXF
ADXS
SYN
TGA
RAVE
STCN
ICON
PLM
TYHT
CCO
DSE
NAKD
PACD
ZN
MYT
CEI
PED
GHSI
NTEC
PER
SXTC
XXII
CHAP
VAL
CTHR
YTRA
ROYT
WSTL
HJLI
TAT
ASRT
OEG
JILL
NDRA
GSUM
SENS
LKCO
TMDI
JE-A
HSDT
CBL
SNMP
SMRT
CVEO
NOVN
TRXC
AEZS
NMCI
VTGN
ASNA
